new_filename,status,match_type,old_image,phash_distance,dhash_distance,cosine_similarity,orientation
fp_test_0038.jpg,excluded,strong_near_duplicate,data\raw\train\122_jpg.rf.571ca1bfb931c967bcd9f5db7df086ff.jpg,2,2,0.9871149659156799,normal
fp_test_0039.jpg,excluded,exact,data\raw\train\122_jpg.rf.571ca1bfb931c967bcd9f5db7df086ff.jpg,0,0,1.0,identical
fp_test_0040.jpg,kept,,,,,,
fp_test_0041.jpg,kept,,,,,,
fp_test_0042.jpg,kept,,,,,,
fp_test_0043.jpg,excluded,strong_near_duplicate,data\raw\train\2_101_jpg.rf.f9cc189f24f4cd5eefba0329c32bb289.jpg,2,0,0.9952670931816101,normal
fp_test_0044.jpg,excluded,strong_near_duplicate,data\raw\train\2_101_jpg.rf.f9cc189f24f4cd5eefba0329c32bb289.jpg,2,0,0.995678722858429,normal
fp_test_0045.jpg,excluded,exact,data\raw\train\2_101_jpg.rf.f9cc189f24f4cd5eefba0329c32bb289.jpg,0,0,1.0,identical
fp_test_0046.jpg,kept,,,,,,
fp_test_0047.jpg,kept,,,,,,
fp_test_0048.jpg,excluded,exact,data\raw\train\35_jpg.rf.7f4bfb08693ebcb0f573c254f2ddc55a.jpg,0,0,1.0,identical
fp_test_0049.jpg,kept,,,,,,
fp_test_0050.jpg,kept,,,,,,
fp_test_0051.jpg,kept,,,,,,
fp_test_0052.jpg,kept,,,,,,
fp_test_0053.jpg,kept,,,,,,
fp_test_0054.jpg,kept,,,,,,
fp_test_0055.jpg,kept,,,,,,
fp_test_0056.jpg,kept,,,,,,
fp_test_0057.jpg,kept,,,,,,
fp_test_0058.jpg,excluded,exact,data\raw\train\174_jpg.rf.ca548c56039cc24b713b87719514bca8.jpg,0,0,1.0,identical
fp_test_0059.jpg,kept,,,,,,
fp_test_0060.jpg,kept,,,,,,
fp_test_0061.jpg,kept,,,,,,
fp_test_0062.jpg,kept,,,,,,
fp_test_0063.jpg,kept,,,,,,
fp_test_0064.jpg,kept,,,,,,
fp_test_0065.jpg,kept,,,,,,
fp_test_0066.jpg,kept,,,,,,
fp_test_0067.jpg,kept,,,,,,
fp_test_0068.jpg,excluded,strong_near_duplicate,data\raw\train\28_jpg.rf.e8e7b4924f8db8467631fa3dbf6b1f62.jpg,2,1,0.9940836429595947,normal
fp_test_0069.jpg,excluded,exact,data\raw\train\28_jpg.rf.e8e7b4924f8db8467631fa3dbf6b1f62.jpg,0,0,1.0,identical
fp_test_0070.jpg,excluded,strong_near_duplicate,data\raw\train\28_jpg.rf.e8e7b4924f8db8467631fa3dbf6b1f62.jpg,2,1,0.9916967153549194,normal
fp_test_0071.jpg,kept,,,,,,
fp_test_0072.jpg,kept,,,,,,
fp_test_0073.jpg,kept,,,,,,
fp_test_0074.jpg,kept,,,,,,
fp_test_0075.jpg,kept,,,,,,
fp_test_0076.jpg,kept,,,,,,
fp_test_0077.jpg,kept,,,,,,
fp_test_0078.jpg,kept,,,,,,
fp_test_0079.jpg,kept,,,,,,
fp_test_0080.jpg,kept,,,,,,
fp_test_0081.jpg,kept,,,,,,
fp_test_0082.jpg,kept,,,,,,
fp_test_0083.jpg,excluded,exact,data\raw\valid\124_jpg.rf.e1023a53c27a388c9dc31d042f61993f.jpg,0,0,1.0,identical
fp_test_0084.jpg,kept,,,,,,
fp_test_0085.jpg,kept,,,,,,
fp_test_0086.jpg,kept,,,,,,
fp_test_0087.jpg,excluded,exact,data\raw\train\109_jpg.rf.31b93b1a36ce98eecbce25228dfcf552.jpg,0,0,1.0,identical
fp_test_0088.jpg,excluded,exact,data\raw\train\93_jpg.rf.83cf28dee0c48174697d948b75d45854.jpg,0,0,1.0,identical
fp_test_0089.jpg,excluded,strong_near_duplicate,data\raw\train\93_jpg.rf.83cf28dee0c48174697d948b75d45854.jpg,0,1,0.9991614818572998,normal
fp_test_0090.jpg,kept,,,,,,
fp_test_0091.jpg,kept,,,,,,
fp_test_0092.jpg,excluded,strong_near_duplicate,data\raw\train\2_11_jpg.rf.d48a186ae02aab6097acfd7113d7970f.jpg,4,0,0.9953483939170837,normal
fp_test_0093.jpg,excluded,exact,data\raw\train\2_11_jpg.rf.d48a186ae02aab6097acfd7113d7970f.jpg,0,0,1.0,identical
fp_test_0094.jpg,kept,,,,,,
fp_test_0095.jpg,kept,,,,,,
fp_test_0096.jpg,kept,,,,,,
fp_test_0097.jpg,kept,,,,,,
fp_test_0098.jpg,kept,,,,,,
fp_test_0099.jpg,kept,,,,,,
fp_test_0100.jpg,kept,,,,,,
fp_test_0101.jpg,kept,,,,,,
fp_test_0102.jpg,kept,,,,,,
fp_test_0103.jpg,kept,,,,,,
fp_test_0104.jpg,excluded,exact,data\raw\test\2_4_jpg.rf.3b50a18a9bfc76da2e9a5e496bfa8548.jpg,0,0,1.0,identical
fp_test_0105.jpg,kept,,,,,,
fp_test_0106.jpg,kept,,,,,,
fp_test_0107.jpg,kept,,,,,,
fp_test_0108.jpg,kept,,,,,,
fp_test_0109.jpg,kept,,,,,,
fp_test_0110.jpg,kept,,,,,,
fp_test_0111.jpg,kept,,,,,,
fp_test_0112.jpg,kept,,,,,,
fp_test_0113.jpg,kept,,,,,,
fp_test_0114.jpg,kept,,,,,,
fp_test_0115.jpg,kept,,,,,,
fp_test_0116.jpg,excluded,exact,data\raw\train\5_jpg.rf.7be0f54e302fc37db9b21f61a793de47.jpg,0,0,1.0,identical
fp_test_0117.jpg,kept,,,,,,
fp_test_0118.jpg,kept,,,,,,
fp_test_0119.jpg,kept,,,,,,
fp_test_0120.jpg,kept,,,,,,
fp_test_0121.jpg,kept,,,,,,
fp_test_0122.jpg,kept,,,,,,
fp_test_0123.jpg,kept,,,,,,
fp_test_0124.jpg,kept,,,,,,
fp_test_0125.jpg,kept,,,,,,
fp_test_0126.jpg,kept,,,,,,
fp_test_0127.jpg,kept,,,,,,
fp_test_0128.jpg,excluded,exact,data\raw\valid\2_120_jpg.rf.396636092f3971962872af573a4c0883.jpg,0,0,1.0,identical
fp_test_0129.jpg,kept,,,,,,
fp_test_0130.jpg,kept,,,,,,
fp_test_0131.jpg,kept,,,,,,
fp_test_0132.jpg,excluded,exact,data\raw\train\2_1_jpg.rf.1a373317a2e02942529a2dbf4c065f16.jpg,0,0,1.0,identical
fp_test_0133.jpg,excluded,strong_near_duplicate,data\raw\train\2_1_jpg.rf.1a373317a2e02942529a2dbf4c065f16.jpg,4,4,0.9939978718757629,normal
fp_test_0134.jpg,excluded,strong_near_duplicate,data\raw\train\2_5_jpg.rf.6db869ed8a1fa12ee7c5bb2fa4aa292e.jpg,2,2,0.9963077902793884,normal
fp_test_0135.jpg,kept,,,,,,
fp_test_0136.jpg,kept,,,,,,
fp_test_0137.jpg,kept,,,,,,
fp_test_0138.jpg,kept,,,,,,
fp_test_0139.jpg,kept,,,,,,
fp_test_0140.jpg,kept,,,,,,
fp_test_0141.jpg,kept,,,,,,
fp_test_0142.jpg,kept,,,,,,
fp_test_0143.jpg,excluded,exact,data\raw\train\2_129_jpg.rf.72fdc7b3fee95bd412fdb99ecbc5d30e.jpg,0,0,1.0,identical
fp_test_0144.jpg,kept,,,,,,
fp_test_0145.jpg,kept,,,,,,
fp_test_0146.jpg,kept,,,,,,
