threshold,macro_f1,micro_f1,exact_accuracy,hamming_accuracy
0.1,0.3890136719676289,0.41025641025641024,0.029411764705882353,0.32352941176470584
0.15,0.4011798071469087,0.42105263157894735,0.029411764705882353,0.3529411764705882
0.2,0.40727892121113907,0.4266666666666667,0.029411764705882353,0.36764705882352944
0.25,0.4232536639747668,0.4444444444444444,0.029411764705882353,0.4117647058823529
0.3,0.42805023923444974,0.4492753623188406,0.029411764705882353,0.4411764705882353
0.35,0.44358840264413024,0.46511627906976744,0.029411764705882353,0.49264705882352944
0.4,0.47444461506961505,0.5,0.11764705882352941,0.5588235294117647
0.45,0.4452219487501745,0.4727272727272727,0.11764705882352941,0.5735294117647058
0.5,0.4431818181818182,0.49504950495049505,0.17647058823529413,0.625
0.55,0.45890700483091795,0.5106382978723404,0.20588235294117646,0.6617647058823529
0.6,0.45612684729064035,0.5,0.20588235294117646,0.6764705882352942
0.65,0.4258572394475032,0.4578313253012048,0.14705882352941177,0.6691176470588236
0.7,0.43904405263431634,0.46153846153846156,0.14705882352941177,0.6911764705882353
0.75,0.33160173160173156,0.4126984126984127,0.23529411764705882,0.7279411764705883
0.8,0.24754901960784312,0.32,0.2647058823529412,0.75
0.85,0.25458916083916083,0.3181818181818182,0.29411764705882354,0.7794117647058824
0.9,0.1968253968253968,0.21621621621621623,0.3235294117647059,0.7867647058823529
