epoch,phase,learning_rate,train_loss,val_loss
1,classifier_head,0.001,1.219099954196385,1.3019514574724085
2,classifier_head,0.001,1.0963242973600116,1.2967873671475578
3,classifier_head,0.001,1.0914087908608572,1.297525735462413
4,classifier_head,0.001,1.060594249906994,1.2462236811132992
5,classifier_head,0.001,1.0637522152491978,1.2173877954483032
6,fine_tuning,0.0001,1.0339805574644179,1.183253288269043
7,fine_tuning,0.0001,0.9216293630145845,1.2546428091385786
8,fine_tuning,0.0001,0.8316195930753435,1.1638981454512651
9,fine_tuning,0.0001,0.7950949964069185,1.0989517955219044
10,fine_tuning,0.0001,0.7373657771519252,1.0989474408766802
11,fine_tuning,0.0001,0.7029717882474263,1.1421168481602388
12,fine_tuning,0.0001,0.6633574985322498,1.3497620750876034
13,fine_tuning,0.0001,0.6733854645774477,1.1469937282450058
14,fine_tuning,0.0001,0.6300473258608863,1.179103086976444
15,fine_tuning,0.0001,0.53039908125287,1.2988335034426521
