threshold,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,exact_match,hamming_accuracy
0.1,0.3666718215174476,0.9844767694311767,0.5206519112340731,0.3657505285412262,0.9829545454545454,0.5331278890600925,0.06164383561643835,0.4811643835616438
0.15,0.3869993004216027,0.9650722863264594,0.5380063799945265,0.3876146788990826,0.9602272727272727,0.5522875816993464,0.07534246575342465,0.5308219178082192
0.2,0.4162548434092856,0.9546510965739627,0.5648317718211345,0.41959798994974873,0.9488636363636364,0.5818815331010453,0.1232876712328767,0.589041095890411
0.25,0.4573436437478852,0.9414932018371206,0.5998104687772514,0.46111111111111114,0.9431818181818182,0.6194029850746269,0.1780821917808219,0.6506849315068493
0.3,0.49235271206214193,0.9011626992140274,0.617296300069865,0.490625,0.8920454545454546,0.6330645161290323,0.2191780821917808,0.6883561643835616
0.35,0.5150969131678572,0.8683832132526244,0.6279282240072006,0.5187713310580204,0.8636363636363636,0.6481876332622601,0.2328767123287671,0.7174657534246576
0.4,0.5538286767531813,0.8340249634999852,0.6459015018038425,0.5598455598455598,0.8238636363636364,0.6666666666666666,0.2945205479452055,0.7517123287671232
0.45,0.5763912625367806,0.7576105855849949,0.6392429373561449,0.5911111111111111,0.7556818181818182,0.6633416458852868,0.3356164383561644,0.7688356164383562
0.5,0.5869338768115941,0.7115323374957898,0.6289398568745876,0.6038647342995169,0.7102272727272727,0.6527415143603134,0.3493150684931507,0.7722602739726028
0.55,0.6102600250626566,0.6771740877431509,0.6273551010393116,0.6276595744680851,0.6704545454545454,0.6483516483516484,0.363013698630137,0.7808219178082192
0.6,0.6342674805771364,0.6265632627585207,0.6161738680329005,0.6526946107784432,0.6193181818181818,0.6355685131195336,0.363013698630137,0.785958904109589
0.65,0.6520962579805665,0.6026262027583783,0.6112773392185157,0.6709677419354839,0.5909090909090909,0.6283987915407855,0.3561643835616438,0.7893835616438356
0.7,0.6865079365079365,0.5604292072050673,0.5994980869664724,0.7028985507246377,0.5511363636363636,0.6178343949044586,0.3698630136986301,0.7945205479452055
0.75,0.7036180766019475,0.5102525984601246,0.5726852313668424,0.7154471544715447,0.5,0.5886287625418061,0.3561643835616438,0.7893835616438356
0.8,0.7341856849353101,0.4750241366533579,0.5527154005414874,0.7339449541284404,0.45454545454545453,0.5614035087719298,0.363013698630137,0.785958904109589
0.85,0.7588874680306905,0.3428188726337744,0.4583333333333333,0.7662337662337663,0.3352272727272727,0.466403162055336,0.3561643835616438,0.7688356164383562
0.9,0.8104166666666667,0.20529445967802062,0.3223681769737197,0.8409090909090909,0.21022727272727273,0.33636363636363636,0.3150684931506849,0.75
