threshold,macro_f1,micro_f1,exact_accuracy,hamming_accuracy
0.1,0.4055318213824946,0.4125,0.0,0.3088235294117647
0.15,0.4068073504945815,0.4155844155844156,0.029411764705882353,0.3382352941176471
0.2,0.41945207570207577,0.42953020134228187,0.029411764705882353,0.375
0.25,0.3999231950844855,0.4172661870503597,0.029411764705882353,0.40441176470588236
0.3,0.4239015572858732,0.44274809160305345,0.058823529411764705,0.4632352941176471
0.35,0.4472978423069167,0.46774193548387094,0.11764705882352941,0.5147058823529411
0.4,0.4537922562060493,0.4778761061946903,0.11764705882352941,0.5661764705882353
0.45,0.45678653543103664,0.4716981132075472,0.14705882352941177,0.5882352941176471
0.5,0.44671293618662045,0.4583333333333333,0.11764705882352941,0.6176470588235294
0.55,0.46482848650031316,0.47191011235955055,0.14705882352941177,0.6544117647058824
0.6,0.501678388746803,0.5063291139240507,0.2647058823529412,0.7132352941176471
0.65,0.36889632107023407,0.39436619718309857,0.23529411764705882,0.6838235294117647
0.7,0.3415750915750915,0.36923076923076925,0.29411764705882354,0.6985294117647058
0.75,0.3011904761904762,0.3448275862068966,0.3235294117647059,0.7205882352941176
0.8,0.32146464646464645,0.36,0.38235294117647056,0.7647058823529411
0.85,0.1875,0.27906976744186046,0.3235294117647059,0.7720588235294118
0.9,0.15625,0.21621621621621623,0.3235294117647059,0.7867647058823529
