phase,epoch,train_loss,val_loss
classifier_head,1,0.8816409776884501,0.7909590373300526
classifier_head,2,0.8066706394730341,0.7641632083344133
classifier_head,3,0.7696901696841852,0.75454989198136
classifier_head,4,0.7582626345391504,0.7481454227068652
classifier_head,5,0.7585372199600298,0.7522489738790956
fine_tuning,1,0.729849611944894,0.7199468857621494
fine_tuning,2,0.6787357818155303,0.6963247122013405
fine_tuning,3,0.6324353171826107,0.697266455382517
fine_tuning,4,0.5820424831629148,0.6714021430848396
fine_tuning,5,0.5572307604210966,0.6699022777276497
fine_tuning,6,0.5180155975665041,0.6494239113510472
fine_tuning,7,0.47765242071661385,0.6648171482837364
fine_tuning,8,0.47249290107109887,0.6586371668397564
fine_tuning,9,0.4432232831529782,0.6647861897945404
fine_tuning,10,0.3975135773027624,0.6587604276121479
